 TIME , SCORE , F1 , F2 , FORMANT_FOUND , Sequence 
 17661.484375 , 270.0 , 423.7 , 1827.1 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 17798.580078125 , 270.0 , 423.4 , 1827.9 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 17951.623046875 , 270.0 , 423.4 , 1827.9 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 18104.96875 , 270.0 , 423.6 , 1827.3 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 18258.3125 , 270.0 , 423.6 , 1827.3 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 18411.828125 , 270.0 , 423.6 , 1827.3 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 18565.984375 , 267.0 , 423.4 , 1830.7 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 18703.548828125 , 267.0 , 423.5 , 1830.2 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 18857.328125 , 267.0 , 423.5 , 1830.2 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 18994.28125 , 267.0 , 423.5 , 1830.2 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 19149.236328125 , 267.0 , 423.0 , 1830.5 , F1 , 0.57" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 19286.921875 , 267.0 , 423.6 , 1830.3 , F1 , 0.55" 0.86" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 19423.859375 , 267.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 19578.5 , 266.0 , 422.9 , 1830.8 , F1 , 0.57" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 19716.548828125 , 266.0 , 422.9 , 1830.8 , F1 , 0.57" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 19872.236328125 , 266.0 , 422.9 , 1830.8 , F1 , 0.57" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20011.5 , 266.0 , 422.9 , 1830.8 , F1 , 0.57" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20149.720703125 , 266.0 , 423.2 , 1831.5 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20287.265625 , 266.0 , 423.3 , 1831.5 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20425.236328125 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20581.236328125 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20737.84375 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 20878.015625 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21018.203125 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21177.0 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21317.453125 , 266.0 , 0.0 , 0.0 , none , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21455.236328125 , 266.0 , 423.5 , 1831.3 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21593.515625 , 266.0 , 423.5 , 1831.3 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21749.548828125 , 266.0 , 423.5 , 1831.3 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.49" 0.05"  
 21888.984375 , 245.0 , 429.4 , 1858.8 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.47" 0.05"  
 21888.984375 , 245.0 , 429.4 , 1858.8 , F1 , 0.55" 0.97" 0.88" 0.07" 0.11" 0.05" 0.47" 0.05"  
